FORPRINT: Tue Feb  4 19:18:07 2014
       16684.518      -55.133587
       16694.336       54.711193
       16704.154       11.904525
       16713.972       14.656687
       16723.790       194.15392
       16733.608       216.79867
       16743.426       279.29308
       16753.244       564.04130
       16763.062       754.74001
       16772.880       1005.6183
       16782.698       1506.3613
       16792.516       1982.2635
       16802.334       2607.2122
       16812.152       3603.7568
       16821.970       4689.1137
       16831.788       6070.3332
       16841.606       8075.2515
       16851.424       10526.819
       16861.242       13717.953
       16871.060       18185.699
       16880.878       24146.489
       16890.696       32537.945
       16900.514       45152.170
       16910.332       64885.223
       16920.150       99724.687
       16929.968       176524.02
       16939.786       490343.41
       16949.604       1017428.9
       16959.422       481801.51
       16969.240       341215.76
       16979.058       269936.53
       16988.876       225156.51
       16998.694       193431.69
       17008.512       169259.85
       17018.330       150185.82
       17028.148       134384.43
       17037.966       120867.42
       17047.784       109306.80
       17057.602       99049.228
       17067.420       89759.898
       17077.238       81515.748
       17087.056       73892.526
       17096.874       66710.525
       17106.692       60201.560
       17116.510       54056.125
       17126.328       48110.364
       17136.146       42619.309
       17145.964       37349.465
       17155.782       32167.555
       17165.600       27353.681
       17175.418       22666.635
       17185.236       17968.537
       17195.054       13582.358
       17204.872       9309.0136
       17214.690       4974.8104
       17224.508       880.06676
       17234.326      -3126.7242
       17244.144      -7209.4210
       17253.962      -11062.650
       17263.780      -14856.682
       17273.598      -18771.160
       17283.416      -22470.233
       17293.234      -26086.181
       17303.052      -29836.237
       17312.870      -33417.403
       17322.688      -36917.349
       17332.506      -40543.818
       17342.324      -43993.838
       17352.142      -47373.913
       17361.960      -50909.088
       17371.778      -54271.177
       17381.596      -57527.917
       17391.414      -60938.436
       17401.232      -64213.615
       17411.050      -67377.302
       17420.868      -70676.240
       17430.686      -73824.087
       17440.504      -76862.282
       17450.322      -80054.085
       17460.140      -83091.474
       17469.958      -85975.665
       17479.776      -88998.452
       17489.594      -91895.248
       17499.412      -94623.437
       17509.230      -97457.323
       17519.048      -100135.69
       17528.866      -102630.71
       17538.684      -105229.27
       17548.502      -107648.48
       17558.320      -109815.57
       17568.138      -112034.78
       17577.956      -114063.77
       17587.774      -115778.03
       17597.592      -117446.95
       17607.410      -118815.59
       17617.228      -119749.58
       17627.046      -120494.71
       17636.864      -120727.55
       17646.682      -120195.68
       17656.500      -119044.07
       17666.318      -116815.79
       17676.136      -112913.98
       17685.954      -106924.13
       17695.772      -97389.952
       17705.590      -81621.572
       17715.408      -54057.683
       17725.226       3043.0093
       17735.044       180854.36
       17744.862       1922982.1
       17754.680       415225.07
