FORPRINT: Mon Feb  3 16:23:31 2014
       16602.689       10.192277
       16602.699       10.444095
       16602.709       10.695570
       16602.719       10.946508
       16602.729       11.197096
       16602.739       11.447140
       16602.749       11.696825
       16602.759       11.945958
       16602.769       12.194725
       16602.779       12.442933
       16602.789       12.690672
       16602.799       12.938033
       16602.809       13.184824
       16602.819       13.431228
       16602.829       13.677054
       16602.839       13.922486
       16602.849       14.167333
       16602.859       14.411684
       16602.869       14.655629
       16602.879       14.898978
       16602.889       15.141912
       16602.899       15.384242
       16602.909       15.626150
       16602.919       15.867447
       16602.929       16.108313
       16602.939       16.348561
       16602.949       16.588279
       16602.959       16.827554
       16602.969       17.066199
       16602.979       17.304394
       16602.989       17.541953
       16602.999       17.779052
       16603.009       18.015508
       16603.019       18.251496
       16603.029       18.486834
       16603.039       18.721606
       16603.049       18.955900
       16603.059       19.189532
       16603.069       19.422676
       16603.079       19.655151
       16603.089       19.887131
       16603.099       20.118434
       16603.109       20.349146
       16603.119       20.579350
       16603.129       20.808867
       16603.139       21.037868
       16603.149       21.266175
       16603.159       21.493958
       16603.169       21.721040
       16603.179       21.947589
       16603.189       22.173430
       16603.199       22.398645
       16603.209       22.623316
       16603.219       22.847267
       16603.229       23.070666
       16603.239       23.293339
       16603.249       23.515451
       16603.259       23.736830
       16603.269       23.957640
       16603.279       24.177710
       16603.289       24.397119
       16603.299       24.615948
       16603.309       24.834026
       16603.319       25.051514
       16603.329       25.268245
       16603.339       25.484378
       16603.349       25.699746
       16603.359       25.914428
       16603.369       26.128500
       16603.379       26.341797
       16603.389       26.554476
       16603.399       26.766373
       16603.409       26.977644
       16603.419       27.188125
       16603.429       27.397974
       16603.439       27.607025
       16603.449       27.815356
       16603.459       28.023041
       16603.469       28.229919
       16603.479       28.436144
       16603.489       28.641555
       16603.499       28.846304
       16603.509       29.050232
       16603.519       29.253490
       16603.529       29.455920
       16603.539       29.657596
       16603.549       29.858591
       16603.559       30.058747
       16603.569       30.258214
       16603.579       30.456836
       16603.589       30.654760
       16603.599       30.851832
       16603.609       31.048123
       16603.619       31.243706
       16603.629       31.438426
       16603.639       31.632428
       16603.649       31.825561
       16603.659       32.017969
       16603.669       32.209501
       16603.679       32.400300
       16603.689       32.590216
       16603.699       32.779319
       16603.709       32.967677
       16603.719       33.155142
       16603.729       33.341853
       16603.739       33.527666
       16603.749       33.712717
       16603.759       33.896862
       16603.769       34.080238
       16603.779       34.262702
       16603.789       34.444319
       16603.799       34.625156
       16603.809       34.805070
       16603.819       34.984195
       16603.829       35.162392
       16603.839       35.339791
       16603.849       35.516255
       16603.859       35.691848
       16603.869       35.866633
       16603.879       36.040472
       16603.889       36.213495
       16603.899       36.385566
       16603.909       36.556813
       16603.919       36.727102
       16603.929       36.896559
       16603.939       37.065052
       16603.949       37.232641
       16603.959       37.399387
       16603.969       37.565159
       16603.979       37.730079
       16603.989       37.894019
       16603.999       38.057100
       16604.009       38.219195
       16604.019       38.380423
       16604.029       38.540657
       16604.039       38.699957
       16604.049       38.858379
       16604.059       39.015799
       16604.069       39.172333
       16604.079       39.327858
       16604.089       39.482490
       16604.099       39.636107
       16604.109       39.788766
       16604.119       39.940519
       16604.129       40.091249
       16604.139       40.241067
       16604.149       40.389854
       16604.159       40.537722
       16604.169       40.684554
       16604.179       40.830459
       16604.189       40.975322
       16604.199       41.119195
       16604.209       41.262130
       16604.219       41.404014
       16604.229       41.544952
       16604.239       41.684834
       16604.249       41.823762
       16604.259       41.961627
       16604.269       42.098532
       16604.279       42.234369
       16604.289       42.369186
       16604.299       42.503032
       16604.309       42.635800
       16604.319       42.767590
       16604.329       42.898297
       16604.339       43.028018
       16604.349       43.156650
       16604.359       43.284241
       16604.369       43.410834
       16604.379       43.536331
       16604.389       43.660823
       16604.399       43.784213
       16604.409       43.906592
       16604.419       44.027863
       16604.429       44.148115
       16604.439       44.267254
       16604.449       44.385323
       16604.459       44.502363
       16604.469       44.618281
       16604.479       44.733164
       16604.489       44.846919
       16604.499       44.959632
       16604.509       45.071213
       16604.519       45.181743
       16604.529       45.291137
       16604.539       45.399432
       16604.549       45.506667
       16604.559       45.612758
       16604.569       45.717781
       16604.579       45.821654
       16604.589       45.924453
       16604.599       46.026097
       16604.609       46.126623
       16604.619       46.226064
       16604.629       46.324343
       16604.639       46.421531
       16604.649       46.517552
       16604.659       46.612475
       16604.669       46.706226
       16604.679       46.798874
       16604.689       46.890344
       16604.699       46.980669
       16604.709       47.069881
       16604.719       47.157909
       16604.729       47.244817
       16604.739       47.330535
       16604.749       47.415128
       16604.759       47.498527
       16604.769       47.580793
       16604.779       47.661861
       16604.789       47.741759
       16604.799       47.820516
       16604.809       47.898068
       16604.819       47.974471
       16604.829       48.049666
       16604.839       48.123706
       16604.849       48.196532
       16604.859       48.268171
       16604.869       48.338646
       16604.879       48.407901
       16604.889       48.475987
       16604.899       48.542849
       16604.909       48.608535
       16604.919       48.672993
       16604.929       48.736270
       16604.939       48.798315
       16604.949       48.859149
       16604.959       48.918794
       16604.969       48.977200
       16604.979       49.034411
       16604.989       49.090380
       16604.999       49.145147
       16605.009       49.198669
       16605.019       49.250984
       16605.029       49.302049
       16605.039       49.351884
       16605.049       49.400502
       16605.059       49.447866
       16605.069       49.494010
       16605.079       49.538895
       16605.089       49.582554
       16605.099       49.624952
       16605.109       49.666102
       16605.119       49.706019
       16605.129       49.744669
       16605.139       49.782080
       16605.149       49.818221
       16605.159       49.853118
       16605.169       49.886742
       16605.179       49.919116
       16605.189       49.950215
       16605.199       49.980048
       16605.209       50.008624
       16605.219       50.035920
       16605.229       50.061954
       16605.239       50.086705
       16605.249       50.110190
       16605.259       50.132389
       16605.269       50.153316
       16605.279       50.172955
       16605.289       50.191312
       16605.299       50.208390
       16605.309       50.224176
       16605.319       50.238680
       16605.329       50.251888
       16605.339       50.263810
       16605.349       50.274434
       16605.359       50.283764
       16605.369       50.291801
       16605.379       50.298537
       16605.389       50.303975
       16605.399       50.308111
