FORPRINT: Mon Feb  3 13:43:04 2014
       16574.049       22.898595      2.12111
       16577.964       18.798500      2.05450
       16577.966       15.691520      2.06884
       16577.967       17.120355      2.06996
       16578.050       19.372295      1.91943
       16578.051       17.306167      2.30097
       16578.053       16.247019      2.10183
       16582.973      -90.407465      2.23170
       16582.974      -87.992793      2.30229
       16582.975      -92.914692      2.14428
       16583.940      -96.938390      2.27028
       16583.941      -94.253821      2.28339
       16583.943      -97.868774      2.23767
       16588.890       30.114722      2.40919
       16588.891       32.521770      2.34905
       16588.892       32.645388      2.22058
       16589.946       47.270023      2.38216
       16589.947       48.986833      2.11789
       16589.948       49.022284      2.22262
       16590.037       52.710221      2.07390
       16590.038       53.806075      2.05886
       16590.040       56.532871      2.10148
       16591.010       59.024195      2.09666
       16591.011       62.646957      2.21154
       16591.012       64.619891      2.39738
       16591.917       46.171833      2.28231
       16591.919       44.481989      2.29953
       16591.920       41.728771      2.33282
       16597.940      -92.444763      2.26515
       16597.941      -94.415287      2.16217
       16597.943      -93.627724      2.21439
       16606.867       31.793255      2.31887
       16606.869       32.493595      2.27270
       16606.870       30.761398      2.18312
       16607.067       34.851302      2.18636
       16607.068       37.158789      2.26503
       16607.069       39.075090      2.16131
       16607.911       16.308169      2.36792
       16607.912       18.299695      2.44736
       16607.913       13.898476      2.22669
       16608.080       2.4904084      2.03151
       16608.081       1.2500302      2.09959
       16608.083       4.2755263      2.14146
       16610.989      -85.569580      2.15452
       16610.991      -88.090493      1.92763
       16610.992      -80.315828      2.11421
       16619.033       41.736613      2.06864
       16619.879       33.088839      2.65140
       16620.031       38.730724      2.05739
       16622.872     -0.16019797      2.62274
       16622.875       1.6902061      2.51255
       16622.878      -1.1388885      2.39032
       16624.917      -49.754055      2.50325
       16624.919      -47.270208      2.27159
       16624.921      -53.019372      2.19698
       16626.832      -82.841623      2.64566
       16626.833      -82.939220      2.51785
       16626.834      -84.514944      2.35254
       16626.990      -76.421240      2.36929
       16626.992      -74.303235      2.36705
       16626.993      -73.762711      2.35463
       16628.842      -82.305740      2.06323
       16628.845      -78.414882      2.01859
       16628.848      -76.134472      2.04893
       16629.020      -70.817156      2.23791
       16629.022      -62.518554      2.21552
       16629.024      -68.891745      2.13034
       16631.795       4.3666797      2.62322
       16631.967       5.8711579      2.74862
       16632.805       42.707499      1.97973
       16633.001       43.580374      1.79076
       16647.792       33.987273      1.84271
       16647.984       25.126153      1.82182
       16648.756       36.660644      2.17010
       16648.760       35.806679      2.25045
       16648.764       35.632704      2.25911
       16649.008       48.918476      2.25803
       16649.010       48.066900      2.31025
       16649.013       50.281187      2.30631
       16662.968       36.957769      2.28374
       16662.970       36.911235      2.20535
       16662.971       40.030834      2.33343
       16663.077       45.543928      2.25141
       16663.079       42.650651      2.41018
       16663.080       43.021084      2.22401
       16663.866       49.989862      2.23832
       16663.867       48.062987      2.40029
       16663.869       50.064047      2.24070
       16667.923      -33.521017      2.27080
       16667.925      -35.558530      2.43352
       16667.927      -31.395419      2.40442
       16668.106      -27.236836      2.28189
       16668.110      -29.488747      2.31588
       16668.112      -26.371540      2.47894
       16674.928      -12.841406      1.96204
       16674.930      -12.778939      1.87614
       16674.932      -12.800891      2.07529
       16675.106      -15.438784      2.10864
       16675.108      -13.440436      2.06082
       16675.111      -16.390380      2.08316
       16675.873       8.6926463      2.09968
       16675.874       8.0438548      2.28501
       16675.876       6.8733461      2.15005
       16676.039       11.800879      2.23645
       16676.041       15.320088      2.38489
       16676.042       11.705686      2.08657
       16678.911       53.357328      2.32436
       16678.913       56.176469      2.05934
       16678.914       52.946333      2.27488
       16679.879       57.479661      1.70385
       16680.063       61.569873      2.41986
       16680.066       65.097308      2.20120
       16680.069       63.230422      2.28392
       16682.880      -10.287346      3.07896
       16682.883      -19.874876      3.11902
       16682.887      -12.994476      2.81055
       16683.866      -47.802344      2.31341
       16683.867      -48.510977      2.57452
       16683.869      -46.649399      2.35671
