JD - 2440000.0	Photons	RV (m/s)	RV Error (m/s; Jitter = 3.0 m/s)
 15172.768      9351      -9.6       6.1
 16076.070     11709      27.0       5.5
 16100.047     23095      14.2       5.0
 16109.929     23065     -13.5       5.0
 16111.048     22920     -16.8       5.0
 16113.043     22594     -14.9       5.0
 16114.077     14484     -17.0       6.0
 16115.074     21584      -5.0       5.0
 16116.054     23041       8.1       4.8
 16134.015     22973      -9.2       4.9
 16135.095     23592      -9.7       4.7
 16139.015     22594       6.8       4.5
 16140.813     22370       3.8       5.0
 16144.100     20178      20.3       5.2
 16144.796     23330      14.6       4.6
 16146.057     18774      18.5       4.9
 16147.972     22642       2.5       4.7
 16149.091     15395     -13.8       5.0
 16149.752     22918       6.1       4.5
 16149.766     22629      -6.7       4.6
 16149.779     23080       1.8       4.8
 16149.793     23150      25.2       4.4
 16149.806     23139       9.3       4.4
 16149.818     23174      26.2       4.4
 16149.831     23472      30.3       4.5
 16149.848     22719      32.3       4.7
 16149.861     22981      33.2       4.4
 16149.877     23562      18.4       4.4
 16149.889     23071      16.6       4.3
 16149.901     23343       9.1       4.3
 16149.914     22946       4.8       4.5
 16149.927     22762     -10.3       4.6
 16149.942     20601     -18.4       4.7
 16149.958     20745     -16.0       4.6
 16149.973     20437      -9.8       4.9
 16149.988     22552     -12.7       4.5
 16150.006     23798     -41.8       4.4
 16150.022     22975     -34.8       4.3
 16150.036     22664     -26.1       4.5
 16150.051     20137      -8.2       4.5
 16150.065     19204      -2.6       4.8
 16150.079     19162      -5.6       4.8
 16150.094     18323     -10.1       4.9
 16151.075     22791     -10.0       5.2
 16164.001     23183      23.0       4.9
 16173.925     21904     -10.7       5.1
