Obnm		cts		cts*gain	S/N		err_vel (m/s)
rj80.781        4255      9318.45      96.5321      5.56293
rj117.147        1053      2306.07      48.0216      8.74541
rj117.426        1031      2257.89      47.5173      8.14825
rj118.1346        1012      2216.28      47.0774      8.51828
rj120.330        1035      2266.65      47.6093      9.62124
rj150.535        5347      11709.9      108.212      4.35297
rj152.494       10546      23095.7      151.973      3.92564
rj153.102       10532      23065.1      151.872      3.72055
rj153.317       10455      22896.5      151.316      3.92312
rj153.699       10302      22561.4      150.204      3.92346
rj153.897        6614      14484.7      120.352      4.92328
rj153.1133        9854      21580.3      146.902      4.01707
rj153.1315       10521      23041.0      151.793      3.90417
